Date,^IRX
2004-04-01,3.618439166142018e-05
2004-04-02,3.6616928768662405e-05
2004-04-05,3.602709315830843e-05
2004-04-06,3.6263037412442856e-05
2004-04-07,3.6263037412442856e-05
2004-04-08,3.606641778031161e-05
2004-04-12,3.602709315830843e-05
2004-04-13,3.6420326600783426e-05
2004-04-14,3.6892156912715635e-05
2004-04-15,3.6616928768662405e-05
2004-04-16,3.622371473088748e-05
2004-04-19,3.6420326600783426e-05
2004-04-20,3.740324278411755e-05
2004-04-21,3.818939930244625e-05
2004-04-22,3.701010400281035e-05
2004-04-23,3.7599796457010726e-05
2004-04-26,3.724599239540716e-05
2004-04-27,3.799287471517587e-05
2004-04-28,3.744255382587269e-05
2004-04-29,3.748186447971591e-05
2004-04-30,3.7599796457010726e-05
2004-05-03,3.7874954372574265e-05
2004-05-04,3.893610480854015e-05
2004-05-05,3.818939930244625e-05
2004-05-06,3.834661246182591e-05
2004-05-07,4.0939726169364477e-05
2004-05-10,4.0546938550711786e-05
2004-05-11,4.070406105438629e-05
2004-05-12,3.9761247124570076e-05
2004-05-13,3.8700318804485434e-05
2004-05-14,3.826800548623055e-05
2004-05-17,3.8582419398469625e-05
2004-05-18,4.0546938550711786e-05
2004-05-19,4.011483025001539e-05
2004-05-20,3.964337910922211e-05
2004-05-21,3.964337910922211e-05
2004-05-24,3.9957684507152536e-05
2004-05-25,4.1725189937391605e-05
2004-05-26,4.152883968244758e-05
2004-05-27,4.1018282792126826e-05
2004-05-28,4.152883968244758e-05
2004-06-01,4.3138628067262985e-05
2004-06-02,4.506166461970551e-05
2004-06-03,4.525784085229745e-05
2004-06-04,4.643470012122286e-05
2004-06-07,4.670924857985703e-05
2004-06-08,4.8983359848486785e-05
2004-06-09,4.8983359848486785e-05
2004-06-10,4.996317964089947e-05
2004-06-14,5.278371883443711e-05
2004-06-15,5.1726252947581486e-05
2004-06-16,5.035504009920366e-05
2004-06-17,4.8983359848486785e-05
2004-06-18,4.917934308457106e-05
2004-06-21,4.882656818727682e-05
2004-06-22,5.0981938547911554e-05
2004-06-23,4.957128063853844e-05
2004-06-24,4.945370248621295e-05
